Sampling Feature UUID: a8098bc0-141d-4882-b251-bedc0219fe1b
Date and Time in UTC+0
Result UUID: ,36f4f6a1-2f36-4083-b8a8-94f50acdd066,55f349b7-3491-40de-a828-9abb31e9f20d,fbee68c8-5463-4a38-98a8-f985fba923e8,be1d621e-95d4-447e-bee7-97d4102c9f2e
2023-11-02 10:02:35,120,2.84,9.29,60
2023-11-02 11:02:35,121,2.66,8.37,62
2023-11-02 12:02:35,122,2.71,7.95,64
2023-11-02 13:02:35,123,2.6,7.48,65
2023-11-02 14:02:35,124,2.74,7.86,65
2023-11-02 15:02:35,125,2.74,7.68,66
2023-11-02 16:02:35,126,2.79,7.44,68
2023-11-02 17:02:35,127,2.79,5.97,73
2023-11-02 18:02:35,128,2.79,6.28,72
2023-11-02 19:02:35,129,2.99,6.56,69
2023-11-02 20:02:35,130,2.92,5.55,72
2023-11-02 21:02:35,131,2.74,4.57,77
2023-11-02 22:02:35,132,2.91,3.13,72
2023-11-02 23:02:35,133,2.79,0.92,84
2023-11-03 00:02:35,134,2.67,-2.01,88
2023-11-03 01:02:35,135,2.58,0.43,81
2023-11-03 02:02:35,136,2.79,1.31,72
2023-11-03 03:02:35,137,2.73,2.21,71
2023-11-03 04:02:35,138,2.87,6.67,58
2023-11-03 05:02:35,139,2.54,10.47,46
2023-11-03 06:02:35,140,2.78,8.57,52
2023-11-03 07:02:35,141,2.85,9.91,49
2023-11-03 08:02:35,142,2.33,9.12,54
2023-11-03 09:02:35,143,2.59,12.24,47
2023-11-03 10:02:35,144,2.97,15.91,37
2023-11-03 11:02:35,145,2.87,15.26,39
2023-11-03 12:02:35,146,2.6,7.34,59
2023-11-03 13:02:35,147,2.86,3.95,66
2023-11-03 14:02:35,148,2.95,0.92,77
2023-11-03 15:02:35,149,2.83,-1.16,87
2023-11-03 16:02:35,150,2.72,-3.04,87
2023-11-03 17:02:35,151,2.79,-2.96,88
2023-11-03 18:02:35,152,2.72,-4.57,89
2023-11-03 19:02:35,153,2.74,-5.35,90
2023-11-03 20:02:35,154,2.94,-5.73,91
2023-11-03 21:02:35,155,2.88,-5.83,91
2023-11-03 22:02:35,156,2.73,-6.87,90
2023-11-03 23:02:35,157,2.71,-6.73,91
