# Start Log
# Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
5, 35, 1698636557, 258, 427, -1704, 8397, 0x00
10, 36, 1698636987, 334, 428, -476, 9687, 0x00
3, 36, 1698638555, 275, 425, -1819, 8237, 0x00
5, 36, 1698640157, 272, 427, -1794, 8326, 0x00
10, 37, 1698640587, 333, 427, -502, 9666, 0x00
3, 37, 1698642155, 279, 424, -1870, 8175, 0x00
5, 37, 1698643757, 294, 427, -1784, 8303, 0x00
10, 38, 1698644187, 333, 427, -530, 9643, 0x00
3, 38, 1698645755, 254, 424, -1823, 8266, 0x00
5, 38, 1698647357, 266, 427, -1792, 8239, 0x00
10, 39, 1698647787, 333, 427, -553, 9625, 0x00
3, 39, 1698649355, 283, 424, -1871, 8176, 0x00
5, 39, 1698650957, 304, 427, -1870, 8254, 0x00
10, 40, 1698651387, 334, 428, -571, 9609, 0x00
3, 40, 1698652955, 289, 424, -1871, 8132, 0x00
5, 40, 1698654557, 282, 427, -1774, 8230, 0x00
10, 41, 1698654987, 333, 427, -590, 9594, 0x00
3, 41, 1698656555, 282, 424, -1764, 8249, 0x00
5, 41, 1698658157, 269, 427, -1108, 8553, 0x00
10, 42, 1698658587, 333, 427, -604, 9587, 0x00
3, 42, 1698660155, 248, 424, -902, 8502, 0x00
5, 42, 1698661757, 297, 428, -703, 7114, 0x00
10, 43, 1698662187, 333, 427, -584, 9608, 0x00
3, 43, 1698663755, 272, 425, -481, 6944, 0x00
5, 43, 1698665357, 297, 427, -333, 5962, 0x00
10, 44, 1698665787, 334, 427, -524, 9664, 0x00
3, 44, 1698667355, 266, 425, 160, 4818, 0x00
5, 44, 1698668957, 271, 427, 39, 5097, 0x00
10, 45, 1698669387, 334, 427, -441, 9730, 0x00
3, 45, 1698670955, 264, 426, 430, 3903, 0x00
5, 45, 1698672557, 279, 427, 390, 4250, 0x00
10, 46, 1698672987, 335, 428, -357, 9798, 0x00
3, 46, 1698674555, 277, 427, 543, 3922, 0x00
5, 46, 1698676157, 280, 428, 581, 4008, 0x00
10, 47, 1698676587, 335, 427, -272, 9855, 0x00
3, 47, 1698678155, 279, 427, 1289, 2635, 0x00
5, 47, 1698679757, 263, 427, 658, 4014, 0x00
10, 48, 1698680187, 336, 427, -204, 9897, 0x00
time request, 10
3, 48, 1698681755, 273, 428, 1021, 3189, 0x00
time request, 3
5, 48, 1698683357, 299, 427, 783, 3704, 0x00
time request, 5
10, 49, 1698683787, 336, 427, -156, 9934, 0x02
3, 49, 1698685355, 245, 428, 947, 3191, 0x02
5, 49, 1698686957, 292, 427, 311, 4835, 0x02
10, 50, 1698687387, 336, 427, -124, 9963, 0x00
3, 50, 1698688955, 304, 428, -139, 6234, 0x00
5, 50, 1698690557, 259, 427, -298, 6461, 0x00
10, 51, 1698690987, 336, 428, -111, 9982, 0x00
3, 51, 1698692555, 289, 426, -564, 7556, 0x00
5, 51, 1698694157, 284, 428, -605, 8167, 0x00
10, 52, 1698694587, 336, 427, -116, 9993, 0x00
3, 52, 1698696155, 267, 425, -831, 8384, 0x00
5, 52, 1698697757, 274, 427, -839, 8813, 0x00
10, 53, 1698698187, 336, 427, -135, 9992, 0x00
3, 53, 1698699755, 268, 425, -1016, 8649, 0x00
5, 53, 1698701357, 288, 427, -903, 8868, 0x00
10, 54, 1698701787, 336, 428, -159, 9986, 0x00
# Start Log
Node, Message, Time, Battery V, Last TX Dur ms, Temp C, Hum %, Status
3, 54, 1698703355, 299, 424, -1128, 8622, 0x00
5, 54, 1698704957, 282, 428, -1027, 8997, 0x00
10, 55, 1698705387, 336, 427, -187, 9974, 0x00
3, 55, 1698706955, 285, 425, -1156, 8701, 0x00
5, 55, 1698708557, 276, 427, -1113, 9032, 0x00
10, 56, 1698708987, 336, 427, -218, 9953, 0x00
3, 56, 1698710555, 255, 425, -1317, 8418, 0x00
5, 56, 1698712157, 274, 427, -1179, 9070, 0x00
10, 57, 1698712587, 336, 428, -254, 9926, 0x00
3, 57, 1698714155, 291, 424, -1244, 8510, 0x00
5, 57, 1698715757, 243, 427, -1053, 9023, 0x00
10, 58, 1698716187, 336, 427, -287, 9893, 0x00
3, 58, 1698717755, 280, 425, -1140, 8599, 0x00
5, 58, 1698719357, 270, 427, -1134, 8904, 0x00
10, 59, 1698719787, 336, 427, -313, 9866, 0x00
3, 59, 1698721355, 288, 424, -1293, 8475, 0x00
5, 59, 1698722957, 290, 427, -1302, 8745, 0x00
10, 60, 1698723387, 336, 427, -342, 9838, 0x00
3, 60, 1698724955, 262, 424, -1325, 8583, 0x00
5, 60, 1698726557, 299, 428, -1320, 8834, 0x00
10, 61, 1698726987, 336, 428, -369, 9816, 0x00
3, 61, 1698728555, 278, 424, -1481, 8439, 0x00
5, 61, 1698730157, 301, 427, -1402, 8594, 0x00
10, 62, 1698730587, 336, 427, -395, 9790, 0x00
3, 62, 1698732155, 281, 424, -1489, 8551, 0x00
5, 62, 1698733757, 271, 427, -1422, 8582, 0x00
10, 63, 1698734187, 336, 427, -423, 9766, 0x00
3, 63, 1698735755, 278, 425, -1550, 8410, 0x00
5, 63, 1698737357, 258, 428, -1405, 8528, 0x00
10, 64, 1698737787, 336, 427, -448, 9749, 0x00
3, 64, 1698739355, 256, 424, -1619, 8382, 0x00
5, 64, 1698740957, 282, 427, -1479, 8489, 0x00
10, 65, 1698741387, 335, 428, -469, 9729, 0x00
3, 65, 1698742955, 295, 425, -1460, 8447, 0x00
5, 65, 1698744557, 272, 427, -803, 8760, 0x00
10, 66, 1698744987, 335, 427, -488, 9712, 0x00
3, 66, 1698746555, 298, 425, -635, 8794, 0x00
5, 66, 1698748157, 281, 427, -347, 7485, 0x00
10, 67, 1698748587, 336, 427, -469, 9736, 0x00
3, 67, 1698750155, 283, 425, -233, 7183, 0x00
5, 67, 1698751757, 274, 427, -26, 6237, 0x00
10, 68, 1698752187, 336, 427, -398, 9801, 0x00
3, 68, 1698753755, 263, 426, 437, 4737, 0x00
5, 68, 1698755357, 281, 428, 359, 5087, 0x00
10, 69, 1698755787, 337, 428, -303, 9873, 0x00
3, 69, 1698757355, 284, 426, 850, 3648, 0x00
5, 69, 1698758957, 286, 427, 581, 4568, 0x00
10, 70, 1698759387, 338, 427, -224, 9920, 0x00
3, 70, 1698760955, 280, 427, 867, 3590, 0x00
5, 70, 1698762557, 290, 427, 852, 3912, 0x00
3, 71, 1698764555, 277, 428, 1374, 2962, 0x00
5, 71, 1698766157, 284, 427, 891, 3765, 0x00
10, 72, 1698766587, 338, 427, -62, 9999, 0x00
time request, 10
3, 72, 1698768155, 283, 428, 1675, 2427, 0x00
time request, 3
5, 72, 1698769757, 265, 428, 955, 3783, 0x00
time request, 5
10, 73, 1698770187, 338, 427, -38, 9999, 0x02
3, 73, 1698771755, 274, 428, 767, 4216, 0x02
5, 73, 1698773357, 277, 427, 585, 4857, 0x02
10, 74, 1698773787, 339, 427, -16, 9999, 0x00
3, 74, 1698775355, 276, 427, -141, 6797, 0x00
5, 74, 1698776957, 270, 427, -188, 7983, 0x00
10, 75, 1698777387, 339, 428, -14, 9999, 0x00
3, 75, 1698778955, 282, 425, -261, 7946, 0x00
5, 75, 1698780557, 286, 427, -167, 7731, 0x00
10, 76, 1698780987, 339, 427, -17, 9999, 0x00
3, 76, 1698782555, 292, 425, -454, 8369, 0x00
5, 76, 1698784157, 270, 428, -444, 8603, 0x00
10, 77, 1698784587, 340, 427, -16, 9999, 0x00
3, 77, 1698786155, 302, 425, -555, 8624, 0x00
5, 77, 1698787757, 304, 427, -501, 8680, 0x00
10, 78, 1698788187, 339, 427, -19, 9999, 0x00
3, 78, 1698789755, 294, 425, -686, 8665, 0x00
5, 78, 1698791357, 255, 427, -570, 8772, 0x00
10, 79, 1698791787, 338, 427, -19, 9999, 0x00
3, 79, 1698793355, 280, 425, -692, 8745, 0x00
5, 79, 1698794957, 259, 428, -595, 8971, 0x00
10, 80, 1698795387, 338, 428, -20, 9999, 0x00
3, 80, 1698796955, 271, 425, -725, 8851, 0x00
5, 80, 1698798557, 260, 427, -555, 8852, 0x00
10, 81, 1698798987, 338, 427, -24, 9999, 0x00
3, 81, 1698800555, 268, 425, -693, 8870, 0x00
5, 81, 1698802157, 289, 427, -620, 9221, 0x00
10, 82, 1698802587, 338, 427, -43, 9999, 0x00
3, 82, 1698804155, 265, 425, -792, 8980, 0x00
5, 82, 1698805757, 265, 427, -636, 9236, 0x00
10, 83, 1698806187, 338, 428, -54, 9999, 0x00
3, 83, 1698807755, 271, 425, -809, 8981, 0x00
5, 83, 1698809357, 279, 427, -762, 9055, 0x00
10, 84, 1698809787, 338, 427, -64, 9999, 0x00
3, 84, 1698811355, 252, 425, -787, 9057, 0x00
5, 84, 1698812957, 304, 427, -838, 9215, 0x00
10, 85, 1698813387, 338, 427, -78, 9999, 0x00
3, 85, 1698814955, 262, 425, -1071, 8800, 0x00
5, 85, 1698816557, 256, 427, -947, 9341, 0x00
10, 86, 1698816987, 338, 428, -104, 9999, 0x00
3, 86, 1698818555, 284, 425, -1152, 8687, 0x00
5, 86, 1698820157, 269, 427, -1091, 8917, 0x00
10, 87, 1698820587, 338, 427, -124, 9999, 0x00
3, 87, 1698822155, 255, 424, -1155, 8650, 0x00
5, 87, 1698823757, 289, 427, -1131, 8905, 0x00
10, 88, 1698824187, 338, 427, -148, 9999, 0x00
3, 88, 1698825755, 309, 425, -1307, 8631, 0x00
5, 88, 1698827357, 270, 427, -1124, 8847, 0x00
10, 89, 1698827787, 338, 427, -182, 9999, 0x00
3, 89, 1698829355, 271, 425, -1194, 8742, 0x00
5, 89, 1698830957, 271, 428, -644, 8819, 0x00
10, 90, 1698831387, 338, 427, -217, 9999, 0x00
3, 90, 1698832955, 278, 424, -410, 8669, 0x00
5, 90, 1698834557, 283, 427, -60, 7210, 0x00
10, 91, 1698834987, 338, 427, -217, 9999, 0x00
3, 91, 1698836555, 275, 426, 127, 6112, 0x00
5, 91, 1698838157, 280, 428, 293, 5841, 0x00
10, 92, 1698838587, 339, 427, -176, 9999, 0x00
3, 92, 1698840155, 268, 425, 796, 4097, 0x00
5, 92, 1698841757, 257, 427, 646, 4829, 0x00
10, 93, 1698842187, 340, 427, -126, 9999, 0x00
3, 93, 1698843755, 270, 427, 982, 3896, 0x00
5, 93, 1698845357, 286, 427, 918, 4304, 0x00
10, 94, 1698845787, 340, 427, -79, 9999, 0x00
3, 94, 1698847355, 260, 427, 1283, 3518, 0x00
5, 94, 1698848957, 289, 427, 1294, 2999, 0x00
10, 95, 1698849387, 340, 427, -20, 9999, 0x00
3, 95, 1698850955, 310, 427, 1246, 2590, 0x00
5, 95, 1698852557, 280, 427, 953, 3524, 0x00
10, 96, 1698852987, 340, 427, -16, 9999, 0x00
time request, 10
3, 96, 1698854555, 282, 428, 949, 3699, 0x00
time request, 3
5, 96, 1698856157, 253, 427, 938, 3789, 0x00
time request, 5
10, 97, 1698856587, 339, 427, -16, 9999, 0x02
3, 97, 1698858155, 295, 426, 1116, 3337, 0x02
5, 97, 1698859757, 265, 427, 838, 3814, 0x02
10, 98, 1698860187, 340, 427, -16, 9999, 0x00
3, 98, 1698861755, 275, 427, 549, 4494, 0x00
5, 98, 1698863357, 309, 427, 489, 4812, 0x00
10, 99, 1698863787, 340, 427, -14, 9999, 0x00
3, 99, 1698865355, 292, 426, 273, 5718, 0x00
5, 99, 1698866957, 265, 427, 336, 5561, 0x00
10, 100, 1698867387, 340, 427, -16, 9999, 0x00
3, 100, 1698868955, 275, 426, -73, 7071, 0x00
5, 100, 1698870557, 278, 428, -86, 7710, 0x00
10, 101, 1698870987, 340, 427, -17, 9999, 0x00
3, 101, 1698872555, 274, 425, -220, 7708, 0x00
5, 101, 1698874157, 263, 427, -111, 7719, 0x00
10, 102, 1698874587, 340, 427, -14, 9999, 0x00
3, 102, 1698876155, 292, 425, -214, 7743, 0x00
5, 102, 1698877757, 290, 428, -184, 7955, 0x00
10, 103, 1698878187, 340, 427, -17, 9999, 0x00
3, 103, 1698879755, 295, 425, -266, 7876, 0x00
5, 103, 1698881357, 283, 427, -247, 8193, 0x00
10, 104, 1698881787, 341, 428, -16, 9999, 0x00
3, 104, 1698883355, 277, 425, -221, 7908, 0x00
5, 104, 1698884957, 276, 427, -151, 8158, 0x00
10, 105, 1698885387, 340, 427, -17, 9999, 0x00
3, 105, 1698886955, 285, 425, -94, 7585, 0x00
5, 105, 1698888557, 274, 427, -74, 8060, 0x00
10, 106, 1698888987, 340, 427, -19, 9999, 0x00
3, 106, 1698890555, 259, 425, -125, 7912, 0x00
5, 106, 1698892157, 291, 427, -72, 8280, 0x00
10, 107, 1698892587, 341, 427, -17, 9999, 0x00
3, 107, 1698894155, 251, 425, -95, 8036, 0x00
5, 107, 1698895757, 256, 427, -43, 8223, 0x00
10, 108, 1698896187, 340, 427, -16, 9999, 0x00
3, 108, 1698897755, 273, 425, -29, 7757, 0x00
5, 108, 1698899357, 296, 427, 11, 8076, 0x00
10, 109, 1698899787, 340, 427, -14, 9999, 0x00
3, 109, 1698901355, 285, 425, 1, 7873, 0x00
5, 109, 1698902957, 283, 427, 63, 8151, 0x00
10, 110, 1698903387, 340, 427, -17, 9999, 0x00
3, 110, 1698904955, 280, 425, 107, 8487, 0x00
5, 110, 1698906557, 267, 427, 228, 9093, 0x00
10, 111, 1698906987, 341, 427, -17, 9999, 0x00
3, 111, 1698908555, 285, 426, 109, 9022, 0x00
5, 111, 1698910157, 290, 428, 101, 9382, 0x00
10, 112, 1698910587, 340, 428, -17, 9999, 0x00
3, 112, 1698912155, 281, 425, 25, 9153, 0x00
5, 112, 1698913757, 271, 427, 72, 9450, 0x00
10, 113, 1698914187, 340, 427, -19, 9999, 0x00
3, 113, 1698915755, 277, 425, 145, 9217, 0x00
5, 113, 1698917357, 272, 427, 189, 9246, 0x00
10, 114, 1698917787, 341, 427, -17, 9999, 0x00
3, 114, 1698919355, 265, 426, 261, 9098, 0x00
5, 114, 1698920957, 259, 427, 588, 7719, 0x00
10, 115, 1698921387, 340, 427, -17, 9999, 0x00
3, 115, 1698922955, 268, 426, 1085, 5426, 0x00
5, 115, 1698924557, 250, 427, 1061, 5599, 0x00
10, 116, 1698924987, 341, 427, -16, 9999, 0x00
3, 116, 1698926555, 253, 426, 1057, 5475, 0x00
5, 116, 1698928157, 284, 428, 970, 6103, 0x00
10, 117, 1698928587, 341, 427, -14, 9999, 0x00
3, 117, 1698930155, 305, 426, 1027, 5478, 0x00
5, 117, 1698931757, 272, 427, 968, 6050, 0x00
10, 118, 1698932187, 341, 427, -16, 9999, 0x00
3, 118, 1698933755, 278, 426, 939, 5779, 0x00
5, 118, 1698935357, 280, 427, 939, 6401, 0x00
10, 119, 1698935787, 341, 428, -14, 9999, 0x00
3, 119, 1698937355, 249, 427, 927, 6233, 0x00
5, 119, 1698938957, 279, 427, 918, 6617, 0x00
10, 120, 1698939387, 341, 427, -14, 9999, 0x00
time request, 10
3, 120, 1698940955, 284, 427, 929, 5973, 0x00
time request, 3
5, 120, 1698942557, 270, 427, 889, 6549, 0x00
time request, 5
10, 121, 1698942987, 341, 427, -14, 9999, 0x02
3, 121, 1698944555, 266, 426, 837, 6238, 0x02
5, 121, 1698946157, 285, 428, 833, 6719, 0x02
10, 122, 1698946587, 341, 428, -16, 9999, 0x00
3, 122, 1698948155, 271, 426, 795, 6361, 0x00
5, 122, 1698949757, 275, 427, 787, 6832, 0x00
10, 123, 1698950187, 341, 427, -19, 9999, 0x00
3, 123, 1698951755, 260, 426, 748, 6548, 0x00
5, 123, 1698953357, 259, 427, 769, 7023, 0x00
10, 124, 1698953787, 341, 427, -16, 9999, 0x00
3, 124, 1698955355, 274, 426, 786, 6519, 0x00
5, 124, 1698956957, 281, 428, 794, 7008, 0x00
10, 125, 1698957387, 341, 427, -13, 9999, 0x00
3, 125, 1698958955, 274, 426, 768, 6614, 0x00
5, 125, 1698960557, 265, 427, 798, 6993, 0x00
10, 126, 1698960987, 341, 428, -14, 9999, 0x00
3, 126, 1698962555, 279, 426, 744, 6793, 0x00
5, 126, 1698964157, 244, 428, 744, 7300, 0x00
10, 127, 1698964587, 341, 427, -16, 9999, 0x00
3, 127, 1698966155, 279, 426, 597, 7251, 0x00
5, 127, 1698967757, 259, 427, 660, 7469, 0x00
10, 128, 1698968187, 341, 427, -16, 9999, 0x00
3, 128, 1698969755, 279, 426, 628, 7211, 0x00
5, 128, 1698971357, 257, 428, 774, 7058, 0x00
10, 129, 1698971787, 341, 427, -16, 9999, 0x00
3, 129, 1698973355, 299, 426, 656, 6943, 0x00
5, 129, 1698974957, 284, 427, 671, 7368, 0x00
10, 130, 1698975387, 341, 427, -16, 9999, 0x00
3, 130, 1698976955, 292, 426, 555, 7187, 0x00
5, 130, 1698978557, 281, 428, 481, 8004, 0x00
10, 131, 1698978987, 341, 428, -16, 9999, 0x00
3, 131, 1698980555, 274, 426, 457, 7667, 0x00
5, 131, 1698982157, 273, 427, 403, 8105, 0x00
10, 132, 1698982587, 341, 427, -16, 9999, 0x00
3, 132, 1698984155, 291, 426, 313, 7171, 0x00
5, 132, 1698985757, 264, 427, 272, 8342, 0x00
10, 133, 1698986187, 341, 427, -16, 9999, 0x00
3, 133, 1698987755, 279, 426, 92, 8400, 0x00
5, 133, 1698989357, 285, 428, 77, 8846, 0x00
10, 134, 1698989787, 341, 427, -16, 9999, 0x00
3, 134, 1698991355, 267, 425, -201, 8773, 0x00
5, 134, 1698992957, 279, 427, 375, 7431, 0x00
10, 135, 1698993387, 341, 427, -16, 9999, 0x00
3, 135, 1698994955, 258, 425, 43, 8073, 0x00
5, 135, 1698996557, 299, 427, 149, 7933, 0x00
10, 136, 1698996987, 341, 428, -16, 9999, 0x00
3, 136, 1698998555, 279, 426, 131, 7246, 0x00
5, 136, 1699000157, 279, 428, 136, 7531, 0x00
10, 137, 1699000587, 341, 427, -16, 9999, 0x00
3, 137, 1699002155, 273, 426, 221, 7137, 0x00
5, 137, 1699003757, 277, 427, 678, 5991, 0x00
10, 138, 1699004187, 342, 427, -16, 9999, 0x00
3, 138, 1699005755, 287, 425, 667, 5781, 0x00
5, 138, 1699007357, 283, 427, 874, 5204, 0x00
10, 139, 1699007787, 343, 428, -17, 9999, 0x00
3, 139, 1699009355, 254, 426, 1047, 4608, 0x00
5, 139, 1699010957, 289, 428, 1061, 4640, 0x00
10, 140, 1699011387, 344, 427, -13, 9999, 0x00
3, 140, 1699012955, 278, 426, 857, 5225, 0x00
5, 140, 1699014557, 265, 427, 930, 5082, 0x00
10, 141, 1699014987, 343, 427, -14, 9999, 0x00
3, 141, 1699016555, 285, 427, 991, 4871, 0x00
5, 141, 1699018157, 281, 427, 941, 5256, 0x00
10, 142, 1699018587, 343, 428, -14, 9999, 0x00
3, 142, 1699020155, 233, 426, 912, 5417, 0x00
5, 142, 1699021757, 277, 427, 1256, 4916, 0x00
10, 143, 1699022187, 344, 427, -10, 9999, 0x00
3, 143, 1699023755, 259, 427, 1224, 4685, 0x00
5, 143, 1699025357, 271, 427, 1110, 5184, 0x00
10, 144, 1699025787, 345, 427, 110, 9999, 0x00
time request, 10
3, 144, 1699027355, 297, 427, 1591, 3749, 0x00
time request, 3
5, 144, 1699028957, 271, 428, 1154, 4772, 0x00
time request, 5
3, 145, 1699030955, 287, 429, 1526, 3870, 0x02
10, 146, 1699032987, 344, 427, 381, 9999, 0x00
3, 146, 1699034555, 260, 428, 734, 5948, 0x00
5, 146, 1699036157, 265, 427, 612, 6265, 0x00
10, 147, 1699036587, 342, 427, 154, 9999, 0x00
3, 147, 1699038155, 286, 426, 395, 6564, 0x00
5, 147, 1699039757, 285, 427, 314, 7412, 0x00
